price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,yr_built,yr_renovated,zipcode,lat,sqft_living15,sqft_lot15
325000.0,3,1.75,1780,13095,1.0,0,0,4,9,0,1983,0,98042,47.367,2750,13095
257000.0,2,1.0,1000,3700,1.0,0,0,3,6,200,1929,0,98118,47.552,1270,5000
228500.0,3,1.0,1080,7486,1.5,0,0,3,6,90,1942,0,98146,47.4838,1170,7800
288000.0,3,2.25,2090,7500,1.0,0,0,4,7,810,1977,0,98031,47.3951,1800,7350
479000.0,2,2.5,1741,1439,2.0,0,0,3,8,295,2007,0,98034,47.7043,2090,10454
459900.0,3,1.75,2340,51836,1.5,0,0,3,8,830,1978,0,98027,47.4846,2060,77536
449500.0,5,2.75,2040,7488,1.0,0,0,4,7,840,1969,0,98034,47.7289,1530,7488
769000.0,5,2.25,3320,13138,1.0,0,2,4,9,1420,1964,0,98028,47.759,2820,13138
680000.0,3,1.75,1760,8400,1.0,0,0,4,8,300,1960,0,98136,47.5355,1980,8400
293500.0,3,2.5,1610,5024,2.0,0,0,3,7,0,2004,0,98038,47.3833,1790,3717
203000.0,3,1.75,1190,6000,1.0,0,0,3,7,0,1952,2015,98178,47.5026,1200,6000
360000.0,5,3.0,2480,7200,1.0,0,0,3,7,920,1999,0,98188,47.4586,1910,9432
258000.0,3,2.0,1390,7200,1.0,0,0,3,7,0,1996,0,98058,47.434,1630,7340
245990.0,3,1.0,1040,8410,1.0,0,0,3,7,0,1942,2014,98188,47.453,1350,8410
352000.0,5,2.75,2980,9838,1.0,0,0,3,7,1270,1968,0,98030,47.3807,2240,9838
300000.0,3,3.25,1470,1235,2.0,0,0,3,7,290,2008,0,98108,47.5537,1470,1243
430000.0,2,1.0,700,4800,1.0,0,0,3,7,0,1922,0,98122,47.6147,1440,4800
900000.0,5,3.0,4350,37169,2.0,0,0,3,10,1400,1972,0,98005,47.6518,3280,41631
285000.0,4,2.0,1760,5500,1.0,0,1,3,7,980,1925,2004,98118,47.5183,1510,5500
353900.0,3,1.75,1560,5760,1.0,0,0,5,6,780,1927,0,98106,47.5272,1320,7680
780000.0,4,1.75,2480,9195,1.0,0,0,3,7,1090,1950,0,98004,47.584,2440,9195
600000.0,5,2.25,2760,6350,1.0,0,0,3,7,1380,1958,0,98126,47.5561,2060,6342
447055.0,4,2.5,2448,4949,2.0,0,0,3,9,0,2014,0,98030,47.3428,2815,5446
284200.0,3,1.75,1540,6632,1.0,0,0,3,7,470,1959,0,98178,47.4973,2510,6618
980000.0,5,2.5,3160,11470,1.0,0,0,4,9,1380,1971,0,98040,47.5368,3260,11470
469500.0,4,2.75,1930,13041,1.0,0,0,4,8,750,1980,0,98072,47.7502,1880,10234
879950.0,4,2.75,3020,7203,2.0,0,0,3,9,0,2014,0,98033,47.6948,3010,7215
570000.0,5,1.75,2510,9750,1.5,0,0,3,8,0,1969,0,98052,47.6635,1900,9750
550000.0,4,1.75,2480,14782,1.0,0,3,3,8,1020,1958,0,98155,47.7646,2910,10800
325000.0,3,1.0,1590,8160,1.0,0,1,3,7,500,1954,0,98198,47.4013,1540,10500
400000.0,5,2.5,2510,7525,1.5,0,0,4,7,800,1929,0,98106,47.5422,1270,6741
1130000.0,4,3.25,3810,8519,1.0,0,1,3,10,1130,2007,0,98033,47.699,3240,10748
270000.0,4,2.5,1900,8282,1.0,0,0,3,7,0,1968,1997,98022,47.2089,1420,8350
232000.0,3,1.5,1390,11340,1.0,0,0,4,7,0,1963,0,98031,47.3984,1740,11340
540000.0,4,1.5,2993,19400,2.0,0,0,4,7,760,1921,0,98166,47.4692,2060,15100
840000.0,4,1.75,2480,11010,1.0,0,0,4,9,850,1966,0,98040,47.5378,2770,10744
1038000.0,4,1.75,1440,13296,1.0,0,0,4,8,0,1967,0,98004,47.634,3520,10802
360000.0,2,1.0,1120,12625,1.0,0,3,3,7,0,1940,0,98136,47.5397,1880,6828
210000.0,4,1.75,2090,6485,1.0,0,0,3,7,810,1956,0,98178,47.4958,2190,9600
595000.0,3,2.5,1750,3354,2.0,0,0,4,7,0,1991,0,98033,47.6953,1750,4286
686000.0,4,2.25,2130,10650,2.0,0,0,4,8,0,1977,0,98006,47.5567,3380,10050
331000.0,4,3.0,2483,5701,2.0,0,0,3,8,0,2005,0,98030,47.3623,2075,5720
399500.0,3,1.75,1410,7700,1.0,0,0,4,7,0,1967,0,98056,47.5375,1560,7700
355000.0,4,1.0,1410,7693,1.5,0,0,4,7,0,1953,0,98133,47.7604,1330,8395
420000.0,4,2.5,3040,24123,2.0,0,0,3,8,0,1999,0,98092,47.2667,2420,10026
533000.0,3,2.5,2810,4607,2.0,0,0,3,8,0,2004,0,98011,47.7735,2540,4871
799500.0,4,2.5,2760,5750,2.0,0,0,3,8,0,1993,0,98112,47.627,2760,5390
800000.0,4,2.5,4940,10037,1.0,0,4,3,9,1490,1953,0,98178,47.5095,2430,9272
563000.0,3,2.0,1380,5000,1.5,0,0,4,7,0,1917,0,98117,47.6807,1350,5000
555000.0,3,2.5,3050,158558,1.0,0,0,4,9,0,1987,0,98055,47.4326,2960,31050
642000.0,3,1.0,1040,4480,1.0,0,0,3,7,170,1924,0,98109,47.6461,1730,4200
1300000.0,5,4.0,3366,7800,2.5,0,2,3,8,400,1937,0,98199,47.6466,2340,6000
268000.0,5,1.75,1730,10368,1.0,0,0,5,7,720,1963,0,98059,47.5008,1730,7728
269900.0,3,2.25,1740,9672,1.0,0,0,4,7,630,1963,0,98031,47.4149,1640,9600
520000.0,4,2.5,2410,6440,1.0,0,0,3,8,860,1974,0,98034,47.7153,2330,6938
543000.0,3,2.5,2090,7640,1.0,0,0,3,7,730,1962,2014,98133,47.7369,2090,7668
235000.0,3,1.0,1590,13000,1.5,0,0,3,6,0,1944,0,98166,47.4789,1460,8400
360000.0,4,1.0,1460,3840,1.5,0,0,3,8,120,1928,0,98106,47.533,990,4200
380950.0,2,1.0,1430,7819,1.0,0,0,3,7,320,1944,0,98125,47.7307,1380,7473
352000.0,2,2.5,1320,1957,1.0,0,0,3,8,660,2004,0,98106,47.5364,1420,2198
926300.0,3,1.5,1660,4800,2.0,0,0,3,8,0,1907,0,98119,47.6352,1690,4000
1255000.0,4,2.5,3200,7535,2.0,0,0,3,9,0,2006,0,98105,47.666,1650,6850
725000.0,4,2.5,2750,13950,1.0,0,3,4,8,1370,1948,0,98146,47.4938,2460,13950
713000.0,1,1.0,1180,4000,1.5,0,2,4,8,340,1910,0,98118,47.5561,1420,4000
349900.0,4,2.5,2052,3723,2.0,0,0,3,8,0,2014,0,98003,47.2824,2052,5250
975000.0,3,2.5,2530,7000,2.5,0,4,3,9,0,1915,1999,98136,47.5465,2380,7000
330000.0,3,1.0,1060,20040,1.0,0,0,3,6,0,1943,0,98034,47.7281,1768,10800
400000.0,5,2.25,2070,10488,1.0,0,0,4,7,990,1958,0,98008,47.6095,1740,9225
310000.0,4,2.5,2440,7093,2.0,0,0,3,7,0,1999,0,98030,47.3817,1860,6072
485000.0,3,1.0,1020,6120,1.0,0,0,3,7,0,1941,0,98115,47.6787,2370,6695
643000.0,3,2.75,2030,7700,1.0,0,0,5,8,630,1965,0,98008,47.626,1780,8160
605000.0,3,2.25,2260,17114,2.0,0,0,3,7,0,1990,0,98155,47.7537,2360,14893
527000.0,6,3.5,3000,8401,1.0,0,0,3,8,1500,1979,0,98125,47.7226,1400,8403
515000.0,5,3.0,2670,11761,1.0,0,0,3,7,1300,1981,0,98052,47.6895,2580,10703
225000.0,4,1.0,1150,6000,1.5,0,0,3,6,0,1907,0,98118,47.562,840,3030
283450.0,5,2.75,2770,6116,1.0,0,0,3,7,1280,1979,0,98168,47.4847,1920,6486
704300.0,4,1.5,1790,4080,1.5,0,0,5,7,0,1928,0,98144,47.5749,1710,4080
270000.0,3,2.25,2100,14027,2.0,0,0,3,8,0,1979,0,98042,47.3833,2730,5999
609000.0,3,2.5,2630,10131,2.0,0,0,3,9,0,1989,0,98028,47.7695,2800,10123
649000.0,4,2.0,2240,11040,1.0,0,0,5,8,1120,1961,0,98033,47.693,1790,11040
830000.0,3,2.5,3370,6550,2.0,0,2,4,8,530,1912,2001,98126,47.5442,1500,6550
497300.0,6,2.75,3200,9200,1.0,0,2,4,8,1600,1953,0,98146,47.492,2220,9500
400000.0,3,2.25,1500,2692,2.0,0,0,3,7,0,1986,0,98034,47.7159,1470,2418
182500.0,2,1.0,1040,13920,1.0,0,0,3,6,0,1973,0,98198,47.3756,1100,7575
353000.0,1,1.0,550,1279,2.0,0,0,3,7,0,2008,0,98122,47.616,1460,1385
988830.0,5,3.25,4115,7910,2.0,0,0,3,9,0,2014,0,98053,47.6847,3950,6765
329950.0,3,2.5,1820,8085,2.0,0,0,3,7,0,1983,0,98055,47.4575,1860,8625
228000.0,3,1.0,1190,9199,1.0,0,0,3,7,0,1955,0,98148,47.4258,1190,9364
220000.0,1,1.5,1100,3451,1.5,0,0,4,8,0,1978,0,98198,47.3829,1400,4560
315000.0,4,2.0,1210,4250,1.0,0,0,4,7,0,1941,0,98108,47.5275,1210,6000
470000.0,3,2.25,2220,9800,2.0,0,0,3,8,0,1987,0,98155,47.7635,2420,10232
349000.0,4,1.75,1700,7800,1.0,0,0,5,7,580,1981,0,98059,47.4801,1560,7800
549900.0,5,2.75,3060,7015,1.0,0,0,5,8,1460,1979,0,98146,47.5052,2190,7600
249950.0,4,1.75,1620,10530,1.0,0,0,3,7,0,1968,0,98030,47.3808,1890,9975
375000.0,3,2.5,1930,6180,1.0,0,0,3,7,600,1961,0,98155,47.7481,1940,6180
350000.0,5,3.0,2520,5500,1.0,0,0,3,8,970,2004,0,98178,47.4938,1700,8000
1580000.0,4,3.25,3760,10920,1.5,0,0,5,9,1360,1950,0,98105,47.6687,3430,11050
385000.0,4,3.0,2740,10925,1.0,0,0,3,8,1070,1980,0,98058,47.4538,2330,9940
317500.0,2,1.0,1000,5120,1.0,0,0,3,6,0,1902,0,98122,47.6088,1940,4300
